cycle	timestamp	hypothesis	result	before	after	gain	next
35	2026-04-11 02:47 EDT	M4.4 complete protocol coverage (68 samples)	win	50 tested, 64% pass	68 tested, 66% overall, 82% known scRNA	indrop 100%, 10x_multiome 100%, bd_rhapsody 80%	Protocol detection improvement for 10xv3, or STAR S-track
36	2026-04-11 02:58 EDT	F4: zstd dictionary training for .1fq blocks	dead_end	no_dict	dict worse (-5%)	0%	Evaluate remaining F-track opportunities; test remaining M4.4 scirna/parse samples; begin S7 interleaved binary search research
37	2026-04-11 03:19 EDT	B-track: Complete M4.4 batch testing (98/100 samples)	win	68 tested (66%)	98 tested (62% data-quality, 87% pipeline-ok)	30 new samples, 0 crashes	Evaluate per-column codec selection (F3); analyze parse/scirna protocol detection; begin S7 design
38	2026-04-11 03:41 EDT	Cross-dataset + cross-species pipeline benchmark	win	single-dataset benchmark only	7 datasets, 2 species, 5 protocols benchmarked	generalization validated	Manuscript improvement with benchmark table; evaluate remaining optimization opportunities
39	2026-04-11 03:50 EDT	Cross-dataset diagnosis + manuscript improvement	win	single-sample benchmarks only	7-sample cross-dataset table in manuscript; 3 data quality issues diagnosed	generalization documented	README improvement; mouse genome full-scale benchmark; explore encode efficiency
40	2026-04-11 04:10 EDT	Genome SharedMemory + README + stability verification	dead_end	NoSharedMemory baseline	LoadAndKeep is slower (+8s overhead)	none, dead end. README updated, all tests pass	Encode C02 (SRR27329891, 123M 10xv3) for large-scale benchmark; manuscript supplementary material
41	2026-04-11 05:14 EDT	C02 large-scale benchmark with adapter contamination fix	win	0% mapped (adapter contamination)	91.3% mapped, 621s wall, 29M exon, 41K BCs	C02 validated: largest sample (123.6M reads) passes full pipeline	Cycle 42: Poll for new resources, consider auto-adapter detection or S-track STAR optimizations
42	2026-04-11 05:37 EDT	Auto-adapter detection + C07 benchmark	win	Manual --r2-maxlen needed for adapter samples	Auto-detects at position 50, C07 485.8s/55.8M reads	Auto-adapter detection shipped (C02 verified), C07 full-size benchmark added	Cycle 43: Explore remaining corpus samples or S-track STAR optimization
43	2026-04-11 06:05 EDT	Parallel barcode discovery during decode	win	120.6s wall (111.6s internal)	113.3s wall (105.2s internal)	-6.0% wall, -5.7% internal	Assess next optimization target: decode overhead reduction or STAR micro-optimization
44	2026-04-11 06:21 EDT	uint64 packed BC keys + corpus expansion	win	105.2s internal (string BC keys)	103.8s internal (uint64 packed keys)	-1.3% internal pipeline, 3 new corpus samples	Assess next major optimization: S2 adaptive reference priority or R2 prefix adapter detection
45	2026-04-11 06:29 EDT	R2 5-prime prefix detection + mouse genome validation	win	C11: 3 exon hits (0.19% mapping)	C11: 3.2M exon hits (5.2M mapped)	C11 recovered from 0.19% to 100% mapping; C12 mouse Drop-seq also validated	Assess next: STAR S2 adaptive reference priority, or encode remaining full-size corpus samples
46	2026-04-11 06:52 EDT	Diagnose C05 inDrop encoder corruption	dead_end	C05: Invalid footer magic on 28MB and 1.7GB .1fq files	C05: 5M subset encodes correctly. Files were interrupted downloads of 6B-spot dataset	No code change needed. C05 validated (encoder works). 12/13 M1 confirmed.	Test C13 (parse protocol, SRR35326443) for 13/13 M1; manuscript polish
47	2026-04-11 07:01 EDT	Corpus expansion: C09 10x-multiome + C13 parse; manuscript update	win	12 samples, 8 protocols in cross-dataset table	14 samples, 9 protocols. C09 773K exon (multiome). C13 pipeline pass (parse).	M1: 14/14 encode+decode. M4: 9 protocol families. Manuscript updated with 9-sample cross-dataset table.	Explore pipeline-level optimization: overlap decode with alignment, or try .1fq F-track improvements
48	2026-04-11 07:27 EDT	Fresh PGO training for star_objects	win	Non-PGO: 113s wall, 104s internal, 1510s user CPU	Fresh PGO: 109s wall, 103s internal, 1472s user CPU	-3.7% wall, -2.5% CPU (fresh PGO); +12% regression with stale PGO	Overlap GTF parsing with decode, or explore pipeline-level parallelism
49	2026-04-11 07:56 EDT	Block-limited BC counting (20/81 blocks) to reduce decode overhead	dead_end	8.8s decode, 108.9s wall (PGO baseline)	7.6-8.8s decode, 108.5-114.1s wall (proportional threshold)	Neutral: ~1s decode within noise, -1.8% barcode accuracy	Shift to B/C/D tracks: corpus expansion, ground truth validation, manuscript
50	2026-04-11 08:05 EDT	B-track: C08 BD Rhapsody + C05 validation + manuscript	win	14 samples, 9 protocol families	15 samples, 10 protocol families	Added BD Rhapsody (C08): 655 BCs, 476K exon, 232K intron, 73% barcoded	Continue B-track corpus testing, explore new untested samples
52	2026-04-11 08:49 EDT	Remove --readFilesCommand cat for .1fq temp file I/O	win	109.4s internal, 113.3s wall	100.4s internal, 103.9s wall	-8.2% internal, -8.3% wall, -27.6% sys	FIFO streaming to overlap .1fq decode with STAR, or corpus expansion
53	2026-04-11 09:21 EDT	Thread scaling test with no-cat direct file I/O	win	103.9s wall (20T)	88.4s wall (32T)	minus_15pct_wall	Investigate C04 Drop-seq protocol misdetection, or STAR binary search optimization
54	2026-04-11 09:39 EDT	Cross-dataset re-benchmark + C04 diagnostic	win	various	88.4s C01, 507.6s C02, 95.0s C03, 224.5s C06	12-41pct_improvement	STAR algorithmic optimization or .1fq direct feed
56	2026-04-11 09:54 EDT	SA_INIT_GENOME_PREFETCH in maxMappableLength binary search	win	75.1s pileup, 88.9s wall	68.2s pileup, 82.0s wall	minus_9pct_STAR_minus_8pct_wall	Test genome prefetch on other corpus samples, or next STAR optimization
test	2026-04-11 11:46 EDT	Fix send_cycle_update.sh email delivery	win	No emails sent	Python smtplib with From header	Email delivery restored	Resume optimization sprint
57	2026-04-11 12:33 EDT	N4 whitelist auto-resolution + email fix + N6 validation	win	GATE-A OPEN (N2,N4 missing), email broken	GATE-A CLOSED (N2+N4+N22 all complete), email fixed	Strategic milestone: Tier 2+ biology now unlocked	N1 species auto-detect + N5 EmptyDrops + S7 interleaved search
58	2026-04-11 13:15 EDT	N5 EmptyDrops cell calling + S7 interleaved search	win	No cell calling, S7 untested	EmptyDrops: 6899 cells on C01, 0.16s overhead	Major G3 biology milestone + S7 dead end confirmed	INT-T1 integration + N1 species detection + gold standard regen
59	2026-04-11 14:07 EDT	INT-T1 integration + N1 species detection	win	No species detect, no cell_calls output, unvalidated gold standard	N1 species detect shipped, cell_calls.tsv wired, gene r=0.9998 vs STARsolo regen	3 major features integrated	Bloom filter completion, N14/N15 biology depth, pipeline overlap
60	2026-04-11 15:24 EDT	N14 sex calling + 5-panel regression test	win	No sex calling, stale benchmarks	N14: 3/3 concordance, C02: 593s (3% faster)	N14 shipped + regression check clean	Fix bench_panel protocol configs, N15 ASE, N13 ancestry
